Puzzle   Algorithm   Heuristic   Length of the   Length of the   Execution Time
Number                                Solution     Search Path     (in seconds)
--------------------------------------------------------------------------------
1        UCS         NA                         1           2        0.0000
1        GBFS        h1                         1           1        0.0000
1        GBFS        h2                         1           1        0.0000
1        GBFS        h3                         1           1        0.0000
1        GBFS        h4                         1           1        0.0007
1        A/A*        h1                         1           1        0.0000
1        A/A*        h2                         1           1        0.0000
1        A/A*        h3                         1           1        0.0000
1        A/A*        h4                         1           1        0.0000

2        UCS         NA                         6        2848          3.15
2        GBFS        h1                         5        2396          2.01
2        GBFS        h2                         5        2396          2.03
2        GBFS        h3                         5        2963          2.04
2        GBFS        h4                         5        2923          3.99
2        A/A*        h1                         5        2164          1.40
2        A/A*        h2                         5        2164          1.42
2        A/A*        h3                         5        2164          1.49
2        A/A*        h4                         5        2164          1.42

3        UCS         NA                         1           2        0.0010
3        GBFS        h1                         1           1        0.0000
3        GBFS        h2                         1           1        0.0000
3        GBFS        h3                         1           1        0.0000
3        GBFS        h4                         1           1        0.0000
3        A/A*        h1                         1           1        0.0005
3        A/A*        h2                         1           1        0.0000
3        A/A*        h3                         1           1        0.0000
3        A/A*        h4                         1           1        0.0000

4        UCS         NA                         2          36        0.0010
4        GBFS        h1                         2          35        0.0018
4        GBFS        h2                         2          35        0.0010
4        GBFS        h3                         2          36        0.0020
4        GBFS        h4                         2          35        0.0018
4        A/A*        h1                         2          34        0.0028
4        A/A*        h2                         2          34        0.0027
4        A/A*        h3                         2          34        0.0027
4        A/A*        h4                         2          34        0.0017

5        UCS         NA                         1           2        0.0000
5        GBFS        h1                         1           1        0.0010
5        GBFS        h2                         1           1        0.0007
5        GBFS        h3                         1           1        0.0000
5        GBFS        h4                         1           1        0.0000
5        A/A*        h1                         1           1        0.0001
5        A/A*        h2                         1           1        0.0006
5        A/A*        h3                         1           1        0.0010
5        A/A*        h4                         1           1        0.0000

6        UCS         NA                         2         319          0.02
6        GBFS        h1                         2         166          0.01
6        GBFS        h2                         2         166          0.01
6        GBFS        h3                         2         165          0.01
6        GBFS        h4                         2         166          0.01
6        A/A*        h1                         2         164          0.01
6        A/A*        h2                         2         164          0.02
6        A/A*        h3                         2         164          0.02
6        A/A*        h4                         2         164          0.02

7        UCS         NA                         3         745          0.16
7        GBFS        h1                         3        1003          0.26
7        GBFS        h2                         3        1003          0.25
7        GBFS        h3                         3         432          0.05
7        GBFS        h4                         3        1003          0.25
7        A/A*        h1                         3         774          0.16
7        A/A*        h2                         3         774          0.17
7        A/A*        h3                         3         774          0.20
7        A/A*        h4                         3         774          0.21

8        UCS         NA                         5        1645          1.26
8        GBFS        h1                         5        2182          2.65
8        GBFS        h2                         5        2182          2.63
8        GBFS        h3                         5        1716          0.80
8        GBFS        h4                         5        2477          3.92
8        A/A*        h1                         5        1931          1.45
8        A/A*        h2                         5        1931          1.41
8        A/A*        h3                         5        1931          1.44
8        A/A*        h4                         5        1931          1.69

9        UCS         NA                         1           2        0.0000
9        GBFS        h1                         1           1        0.0000
9        GBFS        h2                         1           1        0.0000
9        GBFS        h3                         1           1        0.0009
9        GBFS        h4                         1           1        0.0000
9        A/A*        h1                         1           1        0.0000
9        A/A*        h2                         1           1        0.0010
9        A/A*        h3                         1           1        0.0000
9        A/A*        h4                         1           1        0.0000


11       UCS         NA                         3        1163          0.32
11       GBFS        h1                         3         650          0.10
11       GBFS        h2                         3         650          0.11
11       GBFS        h3                         3         928          0.15
11       GBFS        h4                         3         650          0.11
11       A/A*        h1                         3         621          0.13
